RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
W,LLCO,GYEO029,29,"Tywyn-TywynviaSandilands,Promenade",14/08/2016
W,LLCO,PWBYP02,YP2,Machynlleth-AberystwythSchools,24/08/2013
W,MHCO,DBAO043,43,"Llanfair-PensarnviaAbergele,Belgrano",02/05/2017
W,MHCO,MGAO076,76,Denbigh-LLangwyfanCrossroads,16/01/2017
W,MNPH,CWAO407,407,Dolwyddelan-YsgolDuffrynConwy,20/07/2014
W,MRRS,CMAO227,227,Carmarthen-Llanybri,07/11/2016
W,MRRS,CMAO243,243,Pensarn-QueenElizabethHighSchool,25/05/2016
W,MRRS,CMBO279,279,"Llandeilo-CarmarthenviaCarmel,Llanarthne",03/09/2015
W,MRRS,CMBO284,284,Llandeilo-AmmanfordviaCrugybar,03/09/2015
W,MWLM,CGAT027,T27,Penbontrhydybeddau-Penrhyncoch,03/09/2015
W,MWLM,CGBO003,3,"AberystwythPromenade-AberystwythPromenadeviaAberystwythUniversity,NationalLibrary",26/09/2016
W,MWLM,CGBO526,526,Aberystwyth-Penrhyncoch,31/10/2016
W,NADT,NAAO810,810,StMellons-YsgolBroEdern,01/09/2016
W,NADT,RCAO103,103,Pontypridd-Pontypridd,07/08/2017
W,NADT,RCAO106,106,Pontypridd-capel/OldYnysybwl,16/02/2015
W,NADT,RCAO112,112,OldYnysybwl-Nantgarw,02/01/2015
W,NADT,RCDO108,108,Pontypridd-BeddauviaPenycoedcae,13/07/2013
W,NADT,SMAO806,806,Llanishen-YsgolGlantaf,04/09/2017
W,NADT,SMAO807,807,Ely-BishopofLlandaff/YsgolPlasmawr,01/09/2014
W,NADT,SMBG001,G1,Gabalfa-GarthviaWhitchurch,04/06/2017
W,NADT,SMCO010,10,Cardiff-WentloogIndustrialPark,04/10/2013
W,NADT,SWBO145,145,Swansea-Morriston,24/09/2017
W,NADT,TCAT006A,T6A,Ynyswen-Ystradgynlais,10/04/2017
W,NADT,TCAT009,T9,CardiffAirport-Cardiff,01/11/2017
W,NWPT,GWCC003,C3,Chepstow-ChepstowviaThornwell,29/03/2016
W,NWPT,NTAO006A,6A,Newport-Alway,01/01/2017
W,NWPT,NTAO008C,8C,Newport-RinglandviaLlanwernRoad,24/09/2017
W,NWPT,NTAO015,15,Newport-BettwsviaMonnowWay(anticlockwise),23/04/2017
W,NWPT,NTAO036,36,"Newport-DuffrynCircularviaCardiffRoad,DocksWay",03/09/2017
W,NWPT,NTAO073,73,Newport-ChepstowviaLangstone,03/09/2017
W,NWPT,NTAX030,X30,Newport-CardiffExpress,30/04/2017
W,OWNC,PWAO086B,86B,"NewtownTownService-BarnsfieldviaHospital,Morrisons",04/09/2015
W,PRPT,GYAO072,72,Ruthin-BettwsGG,19/07/2016
W,PRPT,GYAO077,77,Ruthin-RuthinviaRhydymeudwy,18/07/2016
W,RBRO,CGCO552,552,Cardigan-QuayWestviaAberporth,25/09/2017
W,RBRO,CMAO612,612,"Ponttyweli-NewcastleEmlynviaLlandysul,Penrhiwllan,Llandyfriog",04/09/2015
W,RBRO,CMAO613,613,"Saron-LlandysulviaPentre,cwrt",06/02/2017
W,RBRO,PBAO405,405,Cardigan-Newport'PoppitRocket',25/09/2017
W,RBRO,PBAO410,410,FishguardSquare-FishguardSquareviaFishguardHarbour,03/07/2017
W,RDWY,NPDO066,66,PortTalbot-Goytre,04/09/2015
W,RJJT,CGAYP22,YP22,Devil'sBridge-AberystwythviaCapelSeion,05/09/2016
W,SARG,PWAO461,461,"LlandrindodWells-HerefordviaNewRadnor,Kington",04/09/2017
W,SARG,PWCO041,41,"Lloyney-KingtonviaKnucklas,Knighton,Presteigne",04/09/2017
W,SSWL,CPAO001,1,MerthyrTydfil-Bargoed,31/07/2016
W,SSWL,GWAX003,X3,"Hereford-CardiffviaAbergavenny,Pontypool,Cwmbran",06/08/2017
W,SSWL,GWAX024,X24,Blaenavon-Newport,06/08/2017
W,SSWL,GWBE003,E3,Brynmawr-GarnLydan,05/11/2017
W,SSWL,GWBO006,6,Cwmbran-TyCanol,22/10/2017
W,SSWL,MGZO124,124,Maerdy-Cardiff,30/04/2017
W,SSWL,MGZX000,X,Senghenydd-Cardiff,09/04/2017
W,SSWL,MTAO027,27,"Twyncarmel-TwyncarmelviaMerthyrTydfil,PrinceCharlesHospital",14/12/2015
W,SSWL,PWBO040C,40C,Brecon-Brecon,21/09/2015
W,SSWL,RCAO011A,11A,Aberdare-Cwmdare,09/10/2016
W,SSWL,RCAO013A,13A,Aberdare-Cwmbach,04/01/2016
W,SSWL,SMAO136,136,Creigiau-Cardiff,30/04/2017
W,SSWL,TCAT004,T4,"Newtown-CardiffviaLlandrindodWells,BuilthWells,Brecon,MerthyrTydfil",08/07/2017
W,STCR,FLAO001,1,Mold-Ruthin,05/06/2017
W,SWTR,NPAO241,241,NeathCollege-Caewathan,31/10/2016
W,SWTR,NPAO252,252,Neath-NeathviaWesternmoor,07/09/2015
W,SWTR,NPBO153,153,Neath-Fairyland,07/09/2015
W,SWTR,SWAO009,9,Swansea-SwanseaviaCwmdonkin,05/09/2016
W,TANV,PWAO074,74,Llanfyllin-ShrewsburyviaCrewGreen,24/09/2016
W,TANV,PWAO079,79,"Llangynog-OswestryviaLlanrhaeadr,Llynclys",05/06/2017
W,TANV,PWAX071,X71,Welshpool-Oswestry,13/02/2017
W,1CTL,CMAL016,L16,Llangennech-StJohnLloydSchool/StMary'sSchool,04/09/2017
W,1CTL,CMBL021,L21,SandyRoad-CoedcaeSchool,02/09/2014
W,ACYM,ACAO004A,4A,Bangor-Holyhead,08/10/2017
W,ACYM,ACAO004X,4X,Bangor-HolyheadviaLlangefniIndustrialEstate,21/05/2017
W,ACYM,ACAO005,5,Llandudno-Bangor,08/10/2017
W,ACYM,ACAO012,12,Wrexham-Brymbo,08/11/2015
W,ACYM,ACAO025,25,Eglwysbach-Llandudno,21/05/2017
W,ACYM,ACAO067B,67B,Bangor-Gerlan,08/10/2017
W,ACYM,ACAO078,78,BangorBusStation-Maesgeirchen,08/10/2017
W,ACYM,ACAO078A,78A,Bangor-Bangor,04/01/2014
W,ACYM,ACAX004,X4,Bangor-Holyhead,08/10/2017
W,ACYM,ACBO008,8,Wrexham-WrexhamviaQueensPark,08/11/2015
W,ACYM,ACBO012,12,ChesterBusExchange-Connah'sQuay,09/04/2017
W,ACYM,ADAO011G,11G,Holywell-Rhyl,28/05/2017
W,ACYM,ANAO053,53,Bangor-Llanddona,30/10/2016
W,ACYM,ANAO057,57,Bangor-Glanrafon,08/10/2017
W,ACYM,ANAO058L,58L,Glanrafon-Bangor,08/10/2017
W,ACYM,DGAO052,52,Rhyl-Denbigh,03/09/2017
